Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
40,5/28/20,904038.47,0,59.88,2.899,136.6489221,5.435
2,11/5/20,1780075.62,0,69.43,2.68,211.1006641,8.163
34,5/27/21,948631.65,0,73.07,3.917,129.06065,10.681
2,1/14/21,1852716.82,0,44.78,2.986,211.7331225,8.228
21,9/21/22,704811.93,0,67.63,3.837,223.2503133,6.265
1,12/23/21,1385158.59,0,47.7,3.112,219.6079912,7.441
8,8/12/21,906782.09,0,92.64,3.638,218.1213238,7.462
42,12/10/20,401925.25,0,31,3.236,126.8834816,9.003
21,7/9/20,773210.36,0,90.65,2.65,215.6968893,7.852
3,9/28/22,1025505.93,0,73.28,3.636,224.9000016,5.664
11,3/25/21,1462747.56,0,64.47,3.025,213.5323702,8.028
27,7/16/20,1663707.63,0,75.19,2.904,132.5849,8.117
29,5/13/21,479682.4,0,64.61,4.087,134.6805414,7.838
9,3/12/20,599379.08,0,67.59,2.665,214.335007,6.442
3,7/9/20,348470.22,0,81.45,2.66,214.5993211,7.346
24,9/9/21,1331512.6,1,66.81,3.946,136.4337,8.358
18,2/4/21,1959496.65,0,27.74,2.743,127.1997597,6.892
3,6/11/20,458715.8,0,83.51,2.656,212.6593811,7.346
40,9/9/21,951010.97,1,63.88,3.531,136.1440223,4.524
16,9/24/20,479721.25,0,56.37,2.772,189.4386909,6.942
26,9/9/21,801523.66,1,55.33,3.532,136.6387805,7.767
3,3/9/22,359681.76,0,61.11,3.667,224.9991254,6.833
40,4/9/20,944648.9,0,63.26,2.7,135.8419067,5.333
10,4/15/21,2238218.81,0,62.68,3.618,128.92975,8.494
11,7/2/20,1283772.55,0,89.42,2.682,214.6167748,7.346
26,4/22/21,1086348.49,0,15.08,3.565,133.4824429,7.188
30,2/12/20,319453.55,1,57.97,2.528,210.4893753,8.324
13,11/18/21,1992923.13,0,58.29,3.489,129.8267333,7.892
36,7/30/20,450181.33,0,92.22,3.083,215.0178511,7.812
3,9/21/22,379361.46,0,79.29,3.621,126.1894861,4.139
30,2/12/20,412691,1,38.7,2.541,211.9134699,8.166
10,11/25/21,1974140.62,1,43.75,3.539,129.8161333,8.871
34,6/18/20,952258.43,0,67.31,2.622,126.5121935,9.593
29,8/13/20,584069.05,0,77.61,2.995,132.2640387,10.1
18,6/8/22,819513.41,0,55.95,3.76,138.1112,8.675
1,6/11/20,1597013.01,0,87.47,2.648,211.7516334,7.808
13,6/24/21,1992950.96,0,74.8,3.971,135.4914429,8.584
45,6/4/20,776419.68,0,72.38,2.805,182.8926784,8.899
22,8/26/21,927187.38,0,71.21,3.874,139.2632581,8.745
38,5/13/21,449002.61,0,75.19,4.264,134.1092258,10.286
26,7/27/22,915646.15,0,76.26,3.784,130.8395481,7.8
7,5/13/21,503081.42,0,27.35,3.63,195.7578042,8.15
38,1/7/21,407814.6,0,34.6,3.021,127.5820435,14.021
24,6/15/22,1229755.16,0,70.09,3.661,138.1632967,8.622
29,5/18/22,1301942.49,0,62.41,3.908,138.7996806,8.193
